ARREST DATE,TOP CHARGE DESCRIPTION,HOME PSA,CRIME / ARREST PSA
1/1/2014 ,DESTRUCTION OF PROPERTY - MISD,506,506
1/1/2014 ,ROBBERY W/ARMED (GUN),702,107
1/1/2014 ,ROBBERY W/ARMED (GUN),702,107
1/1/2014 ,THEFT SECOND DEGREE,601,207
1/1/2014 ,THEFT SECOND DEGREE,702,207
1/1/2014 ,THEFT SECOND DEGREE,706,207
1/2/2014 ,SIMPLE ASSAULT,707,407
1/2/2014 ,SIMPLE ASSAULT,105,407
1/2/2014 ,UNLAWFUL ENTRY,506,506
1/2/2014 ,UNLAWFUL ENTRY,506,506
1/2/2014 ,DESTRUCTION OF PROPERTY - MISD,302,302
1/2/2014 ,ATTEMPT TO COMMIT ROBBERY,506,104
1/2/2014 ,ASSAULT ON A POLICE OFFICER [MISD],605,605
1/2/2014 ,THREATS TO DO BODILY HARM - MISD,505,505
1/3/2014 ,CARRYING A PISTOL,502,506
1/3/2014 ,THEFT SECOND DEGREE,304,304
1/3/2014 ,METRO - FAIL TO PAY FARE,608,104
1/3/2014 ,SIMPLE ASSAULT,707,603
1/4/2014 ,SIMPLE ASSAULT,601,601
1/4/2014 ,THREATS (FELONY),402,402
1/4/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,505,403
1/4/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,703,702
1/4/2014 ,UCSA POSS MARIJUANA,507,104
1/4/2014 ,UCSA POSSESSION MARIJUANA,507,308
1/4/2014 ,FAILURE TO OBEY A LAWFUL ORDER,702,701
1/4/2014 ,ADW GUN,608,608
1/4/2014 ,SIMPLE ASSAULT,304,304
1/5/2014 ,UCSA POSSESSION MARIJUANA,502,502
1/5/2014 ,SIMPLE ASSAULT,603,603
1/5/2014 ,POSS W/I TO DIST MARIJUANA-MISD,703,703
1/5/2014 ,SHOPLIFTING,608,503
1/5/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,608,608
1/5/2014 ,UNLAWFUL ENTRY,OUT OF STATE ,106
1/5/2014 ,"ROBBERY, FORCE & VIOLENCE",704,704
1/5/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,JPC
1/6/2014 ,POSSESSION OF BB GUN ON PUBLIC SPACE,603,603
1/6/2014 ,UCSA POSSESSION MARIJUANA,703,JPC
1/6/2014 ,"ROBBERY, FORCE & VIOLENCE",304,203
1/6/2014 ,"ROBBERY, FORCE & VIOLENCE",601,203
1/6/2014 ,"ROBBERY, FORCE & VIOLENCE",105,203
1/7/2014 ,SIMPLE ASSAULT,703,404
1/7/2014 ,SIMPLE ASSAULT,108,507
1/7/2014 ,ROBBERY,UNK ,704
1/8/2014 ,FIRST DEGREE SEX ABUSE - FORCE,203,201
1/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,706,COURT
1/8/2014 ,UCSA POSSESSION MARIJUANA,104,602
1/8/2014 ,DESTRUCTION OF PROPERTY - MISD,604,603
1/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,304,COURT
1/8/2014 ,BURGLARY TWO,702,702
1/8/2014 ,JUVENILE CUSTODY ORDER - ABSCONDER,702,COURT
1/8/2014 ,BURGLARY TWO,702,702
1/8/2014 ,SIMPLE ASSAULT,603,108
1/8/2014 ,SIMPLE ASSAULT,608,108
1/8/2014 ,BURGLARY TWO,702,702
1/8/2014 ,ROBBERY SNATCH OR PURSESNATCH,302,302
1/8/2014 ,UNAUTHORIZED USE OF VEHICLE (UUV),604,604
1/9/2014 ,FRAUD 2ND DEGREE (MISD),304,305
1/9/2014 ,SIMPLE ASSAULT,602,604
1/9/2014 ,ROBBERY,507,507
1/9/2014 ,POSSESSION OF PROHIBITED WEAPON (PPW-B),304,404
